exp,part,cond,trial,R
1,10,A,AA301,0.16447878552612344
1,10,A,AA302,0.1856418061766843
1,10,A,AA303,-0.13118272103979542
1,10,A,AA304,-0.1482290424976926
1,10,A,AA305,-0.4946217422840712
1,10,A,AA306,-0.2633223437078382
1,10,A,AA307,0.035797349601260395
1,10,A,AA308,-0.024086806127371574
1,10,A,AA309,0.1301371739250652
1,10,A,AA310,-0.15960286206537727
1,10,A,AA311,0.13476043619226788
1,10,A,AA312,-0.5800022922084538
1,10,A,AA313,0.10767308675545939
1,10,A,AA314,0.308493920105629
1,10,A,AA315,0.15897047391165764
1,10,A,AA316,0.24493364026118516
1,10,A,AA317,-0.07347116798759017
1,10,A,AA318,0.2997454985233611
1,10,A,AA319,0.052035734053061375
1,10,A,AA320,-0.17887963343016985
1,10,A,AA321,0.10969864354961179
1,10,A,AA322,0.2605916334464243
1,10,A,AA323,0.3716577139098938
1,10,A,AA324,-0.17174288262500942
1,10,A,AA325,-0.11316898220960958
1,10,A,AA326,-0.3600606274088314
1,10,A,AA327,0.18934734076260681
1,10,A,AA328,0.23511437339275293
1,10,A,AA329,-0.26235242919812185
1,10,A,AA330,0.08090789077783082
1,10,A,AA331,-0.18752964150357995
1,10,A,AA332,-0.028994274719124892
1,10,A,AA333,0.19621689389527786
1,10,A,AA334,0.22336168368170825
1,10,A,AA335,0.038190681629523444
1,10,A,AA336,-0.14200214770892183
1,10,A,AA337,0.13556606531225826
1,10,A,AA338,-0.00038442480472131537
1,10,A,AA339,-0.1459026991639687
1,10,A,AA340,-0.017950948190647246
1,10,A,AA342,-0.11528184638343206
1,10,A,AA343,0.02880774595414547
1,10,A,AA344,-0.0906414567271415
1,10,A,AA345,-0.041675705424742936
1,10,A,AA346,0.08489134200972015
1,10,A,AA347,0.2609345765349238
1,10,A,AA348,-0.12799404342866297
1,10,A,AA349,-0.10520986557108797
1,10,A,AA350,-0.3448331312122028
1,10,A,AA351,-0.021312397152389886
1,10,A,AA352,0.038554692405541005
1,10,A,AA353,-0.15748247586945952
1,10,A,AA354,-0.0948021836673249
1,10,A,AA355,-0.14248740332295112
